,odometer_value,year_produced,engine_fuel,engine_capacity,price_usd
15077,215000,2009,gasoline,1.4,7100.0
15078,500000,1993,gasoline,1.8,650.0
15082,316000,1996,diesel,1.9,2350.0
15083,285000,1999,diesel,1.9,4650.0
15084,375000,1994,diesel,1.9,2990.0
15085,288000,2005,gasoline,2.0,5750.0
15092,265000,2007,diesel,2.0,8500.0
15096,337500,1997,gas,1.8,3350.0
15097,260000,2007,diesel,1.9,6650.0
15100,320000,1997,gasoline,1.6,3500.0
15101,311555,1999,gasoline,1.8,4000.0
15104,230000,2006,diesel,1.9,7300.0
15109,171000,2011,diesel,1.6,10800.0
15112,300000,2001,gasoline,1.8,4300.0
15116,320,1998,diesel,1.9,3650.0
15118,390000,2005,diesel,2.0,7400.0
15119,360000,1993,gasoline,1.8,1600.0
15124,255451,1994,diesel,1.9,2500.0
15125,242000,2005,gasoline,2.0,5450.0
15127,330000,1997,gasoline,1.8,2250.0
15128,350000,2000,gasoline,1.8,3700.0
15129,158000,2006,gasoline,2.0,5500.0
15130,196005,2008,diesel,1.9,7150.0
15132,313374,1988,gasoline,1.8,1100.0
15134,250000,1991,gasoline,1.8,1250.0
15142,180000,2008,gasoline,1.8,8200.0
15144,434000,1994,diesel,1.9,2250.0
15145,250000,2010,gas,1.4,7400.0
15154,400000,2005,diesel,2.0,6000.0
15159,270000,1992,gasoline,2.0,1100.0
15161,331000,1999,gasoline,1.8,3750.0
15165,333000,2003,diesel,1.9,5350.0
15173,538558,1987,gasoline,1.8,750.0
15178,300000,1989,diesel,1.6,1600.0
15182,637300,1996,gasoline,1.8,2750.0
15184,175000,2010,gasoline,2.0,7550.0
15186,133000,2016,diesel,1.6,14999.0
15188,262000,2006,diesel,2.0,5500.0
15189,350000,1994,diesel,1.9,2100.0
15194,186000,2016,diesel,2.0,14700.0
15196,115000,2009,gas,1.4,7500.0
15198,222000,2007,diesel,2.0,5800.0
15204,415,1993,gasoline,2.0,1275.0
15206,230000,2005,gasoline,1.8,5150.0
15208,284000,2008,diesel,1.9,7300.0
15209,309011,1997,gasoline,1.8,2600.0
15213,289000,1999,gasoline,2.3,2950.0
15214,250000,1991,gasoline,1.8,1800.0
15217,288000,2008,diesel,1.9,6700.0
15220,270000,1988,gasoline,1.8,1450.0
15221,142000,2015,diesel,1.6,14450.0
15222,421000,1992,diesel,1.6,800.0
15225,100000,2011,gasoline,1.8,10100.0
15226,304000,2002,diesel,2.5,4140.0
15227,90000,2010,diesel,1.6,10300.0
15228,416000,2002,diesel,1.9,4700.0
15229,390000,1991,diesel,1.9,1650.0
15230,320000,2000,diesel,1.9,3700.0
15232,151000,2012,gasoline,1.8,9000.0
15233,167000,2007,gasoline,2.0,5000.0
15235,356000,1988,gasoline,1.6,800.0
15236,40000,1998,diesel,1.9,3700.0
15237,121084,2011,gasoline,1.4,9450.0
15243,325375,2006,gasoline,2.0,5300.0
15248,134520,2012,gasoline,1.8,10700.0
15249,320585,2006,diesel,2.0,6500.0
15250,143882,2013,gasoline,1.4,10650.0
15253,253000,2007,diesel,2.0,7250.0
15254,59543,2017,gasoline,1.8,24500.0
15257,340000,1991,gasoline,2.0,2400.0
15266,355982,2006,diesel,1.9,5300.0
15268,235165,2009,gasoline,1.4,6400.0
15278,323000,2000,diesel,1.9,3850.0
15290,350000,1992,gasoline,1.8,1422.74
15298,300000,1985,gasoline,2.2,450.0
15300,260000,2001,diesel,1.9,4650.0
15302,322000,2003,diesel,1.9,4750.0
15304,352680,1985,diesel,1.6,555.8
15305,267000,2007,diesel,2.0,8500.0
15310,375000,1994,gasoline,1.8,2650.0
15311,330000,2007,diesel,2.0,7000.0
15312,281300,2006,diesel,2.0,7000.0
15313,300123,1992,gasoline,1.8,1400.0
15319,253000,2007,gasoline,2.0,6500.0
15320,444000,1994,gasoline,2.0,2350.0
